latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
60.131744,18.655182,10.0,7200,Europe/Stockholm,CEST

time,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),apparent_temperature (°C),precipitation_probability (%),precipitation (mm),rain (mm),showers (mm),snowfall (cm),snow_depth (m)
2023-09-14T00:00,13.2,62,6.1,9.2,0,0.00,0.00,0.00,0.00,0.00
2023-09-14T01:00,12.7,61,5.4,8.7,0,0.00,0.00,0.00,0.00,0.00
2023-09-14T02:00,12.2,64,5.6,8.9,0,0.00,0.00,0.00,0.00,0.00
2023-09-14T03:00,11.2,70,5.9,8.3,0,0.00,0.00,0.00,0.00,0.00
2023-09-14T04:00,10.1,74,5.7,7.2,0,0.00,0.00,0.00,0.00,0.00
2023-09-14T05:00,8.9,76,4.9,5.8,0,0.00,0.00,0.00,0.00,0.00
2023-09-14T06:00,9.4,74,5.0,6.0,0,0.00,0.00,0.00,0.00,0.00
2023-09-14T07:00,9.7,73,5.1,6.3,0,0.00,0.00,0.00,0.00,0.00
2023-09-14T08:00,9.9,76,5.9,6.8,0,0.00,0.00,0.00,0.00,0.00
2023-09-14T09:00,11.5,68,5.8,7.7,4,0.00,0.00,0.00,0.00,0.00
2023-09-14T10:00,13.1,67,7.1,9.8,9,0.00,0.00,0.00,0.00,0.00
2023-09-14T11:00,14.1,66,7.9,11.1,13,0.00,0.00,0.00,0.00,0.00
2023-09-14T12:00,14.2,65,7.7,11.2,11,0.00,0.00,0.00,0.00,0.00
2023-09-14T13:00,14.4,65,7.9,11.6,8,0.00,0.00,0.00,0.00,0.00
2023-09-14T14:00,14.7,65,8.2,12.2,6,0.00,0.00,0.00,0.00,0.00
2023-09-14T15:00,14.7,64,8.0,12.4,4,0.00,0.00,0.00,0.00,0.00
2023-09-14T16:00,14.5,63,7.6,12.3,2,0.00,0.00,0.00,0.00,0.00
2023-09-14T17:00,14.1,64,7.4,12.0,0,0.00,0.00,0.00,0.00,0.00
2023-09-14T18:00,13.6,65,7.2,11.6,0,0.00,0.00,0.00,0.00,0.00
2023-09-14T19:00,13.1,67,7.1,11.3,0,0.00,0.00,0.00,0.00,0.00
2023-09-14T20:00,12.2,70,6.9,10.8,0,0.00,0.00,0.00,0.00,0.00
2023-09-14T21:00,11.2,74,6.7,9.8,0,0.00,0.00,0.00,0.00,0.00
2023-09-14T22:00,10.2,78,6.6,8.9,0,0.00,0.00,0.00,0.00,0.00
2023-09-14T23:00,8.8,90,7.2,7.5,0,0.00,0.00,0.00,0.00,0.00
2023-09-15T00:00,7.9,93,6.9,6.6,0,0.00,0.00,0.00,0.00,0.00
2023-09-15T01:00,7.5,94,6.6,6.0,0,0.00,0.00,0.00,0.00,0.00
2023-09-15T02:00,7.1,94,6.2,5.4,0,0.00,0.00,0.00,0.00,0.00
2023-09-15T03:00,6.8,94,5.9,5.1,0,0.00,0.00,0.00,0.00,0.00
2023-09-15T04:00,6.7,94,5.8,5.0,0,0.00,0.00,0.00,0.00,0.00
2023-09-15T05:00,6.8,95,6.0,4.9,0,0.00,0.00,0.00,0.00,0.00
2023-09-15T06:00,7.8,92,6.6,5.8,0,0.00,0.00,0.00,0.00,0.00
2023-09-15T07:00,8.6,89,6.9,6.7,0,0.00,0.00,0.00,0.00,0.00
2023-09-15T08:00,10.1,84,7.5,8.1,0,0.00,0.00,0.00,0.00,0.00
2023-09-15T09:00,11.9,75,7.6,9.7,2,0.00,0.00,0.00,0.00,0.00
2023-09-15T10:00,13.2,71,8.0,11.0,4,0.00,0.00,0.00,0.00,0.00
2023-09-15T11:00,13.8,77,9.8,12.2,6,0.00,0.00,0.00,0.00,0.00
2023-09-15T12:00,14.1,82,11.1,13.0,5,0.10,0.10,0.00,0.00,0.00
2023-09-15T13:00,13.6,95,12.8,13.5,4,0.40,0.40,0.00,0.00,0.00
2023-09-15T14:00,13.8,96,13.2,13.8,3,0.40,0.40,0.00,0.00,0.00
2023-09-15T15:00,14.3,87,12.1,13.2,2,0.00,0.00,0.00,0.00,0.00
2023-09-15T16:00,14.4,84,11.8,13.2,1,0.00,0.00,0.00,0.00,0.00
2023-09-15T17:00,14.5,83,11.7,13.5,0,0.00,0.00,0.00,0.00,0.00
2023-09-15T18:00,14.4,84,11.8,13.5,9,0.00,0.00,0.00,0.00,0.00
2023-09-15T19:00,14.2,84,11.5,13.2,17,0.00,0.00,0.00,0.00,0.00
2023-09-15T20:00,14.1,84,11.4,13.0,26,0.00,0.00,0.00,0.00,0.00
2023-09-15T21:00,13.8,87,11.7,12.8,30,0.10,0.10,0.00,0.00,0.00
2023-09-15T22:00,13.3,96,12.7,12.6,35,0.40,0.40,0.00,0.00,0.00
2023-09-15T23:00,13.2,97,12.8,12.9,39,0.20,0.20,0.00,0.00,0.00
2023-09-16T00:00,13.1,97,12.6,12.6,30,0.00,0.00,0.00,0.00,0.00
2023-09-16T01:00,13.3,96,12.7,12.3,22,0.00,0.00,0.00,0.00,0.00
2023-09-16T02:00,13.2,97,12.8,12.2,13,0.00,0.00,0.00,0.00,0.00
2023-09-16T03:00,13.1,97,12.7,12.1,16,0.00,0.00,0.00,0.00,0.00
2023-09-16T04:00,12.8,96,12.2,11.7,20,0.00,0.00,0.00,0.00,0.00
2023-09-16T05:00,12.4,94,11.4,10.9,23,0.00,0.00,0.00,0.00,0.00
2023-09-16T06:00,12.0,93,10.9,10.4,17,0.00,0.00,0.00,0.00,0.00
2023-09-16T07:00,12.0,94,11.1,10.5,12,0.00,0.00,0.00,0.00,0.00
2023-09-16T08:00,12.8,92,11.5,11.3,6,0.00,0.00,0.00,0.00,0.00
2023-09-16T09:00,14.2,86,11.9,12.7,4,0.00,0.00,0.00,0.00,0.00
2023-09-16T10:00,15.6,80,12.2,14.3,2,0.00,0.00,0.00,0.00,0.00
2023-09-16T11:00,17.0,76,12.8,15.9,0,0.00,0.00,0.00,0.00,0.00
2023-09-16T12:00,18.1,70,12.5,16.5,1,0.00,0.00,0.00,0.00,0.00
2023-09-16T13:00,18.9,60,11.0,16.8,2,0.00,0.00,0.00,0.00,0.00
2023-09-16T14:00,19.1,59,10.9,17.2,3,0.00,0.00,0.00,0.00,0.00
2023-09-16T15:00,19.2,59,11.0,17.7,5,0.00,0.00,0.00,0.00,0.00
2023-09-16T16:00,19.1,60,11.2,17.9,8,0.00,0.00,0.00,0.00,0.00
2023-09-16T17:00,18.8,61,11.2,17.4,10,0.00,0.00,0.00,0.00,0.00
2023-09-16T18:00,18.0,65,11.4,16.9,12,0.00,0.00,0.00,0.00,0.00
2023-09-16T19:00,17.0,72,11.9,16.5,14,0.00,0.00,0.00,0.00,0.00
2023-09-16T20:00,15.9,77,11.9,15.4,16,0.00,0.00,0.00,0.00,0.00
2023-09-16T21:00,15.8,77,11.8,14.8,17,0.00,0.00,0.00,0.00,0.00
2023-09-16T22:00,14.3,87,12.2,13.4,18,0.00,0.00,0.00,0.00,0.00
2023-09-16T23:00,14.0,90,12.4,12.9,19,0.00,0.00,0.00,0.00,0.00
2023-09-17T00:00,13.9,92,12.6,12.9,20,0.00,0.00,0.00,0.00,0.00
2023-09-17T01:00,13.9,92,12.6,13.1,22,0.00,0.00,0.00,0.00,0.00
2023-09-17T02:00,13.7,91,12.3,12.9,23,0.00,0.00,0.00,0.00,0.00
2023-09-17T03:00,13.2,92,12.0,12.3,30,0.00,0.00,0.00,0.00,0.00
2023-09-17T04:00,12.9,93,11.8,12.0,38,0.00,0.00,0.00,0.00,0.00
2023-09-17T05:00,12.6,93,11.5,11.8,45,0.00,0.00,0.00,0.00,0.00
2023-09-17T06:00,12.4,94,11.5,11.8,46,0.10,0.00,0.10,0.00,0.00
2023-09-17T07:00,12.4,95,11.7,11.6,47,2.00,0.00,0.60,0.00,0.00
2023-09-17T08:00,12.3,92,11.0,9.5,48,3.00,0.00,0.00,0.00,0.00
2023-09-17T09:00,11.1,88,9.2,7.8,49,3.50,0.00,0.00,0.00,0.00
2023-09-17T10:00,11.1,85,8.7,7.5,51,1.10,0.00,0.00,0.00,0.00
2023-09-17T11:00,11.3,82,8.3,7.3,52,0.50,0.00,0.00,0.00,0.00
2023-09-17T12:00,11.2,82,8.3,7.5,50,0.30,0.00,0.00,0.00,0.00
2023-09-17T13:00,11.3,82,8.3,7.6,47,0.90,0.00,0.10,0.00,0.00
2023-09-17T14:00,12.0,74,7.5,7.8,45,0.10,0.00,0.00,0.00,0.00
2023-09-17T15:00,12.3,69,6.8,8.1,40,0.00,0.00,0.00,0.00,0.00
2023-09-17T16:00,12.6,65,6.2,8.3,34,0.00,0.00,0.00,0.00,0.00
2023-09-17T17:00,12.6,62,5.5,8.5,29,0.00,0.00,0.00,0.00,0.00
2023-09-17T18:00,12.1,63,5.3,8.6,26,0.00,0.00,0.00,0.00,0.00
2023-09-17T19:00,11.3,67,5.4,8.5,22,0.00,0.00,0.00,0.00,0.00
2023-09-17T20:00,10.4,72,5.5,8.1,19,0.00,0.00,0.00,0.00,0.00
2023-09-17T21:00,9.4,78,5.7,7.2,18,0.00,0.00,0.00,0.00,0.00
2023-09-17T22:00,8.3,84,5.7,6.2,17,0.00,0.00,0.00,0.00,0.00
2023-09-17T23:00,7.5,88,5.6,5.3,16,0.00,0.00,0.00,0.00,0.00
2023-09-18T00:00,7.3,89,5.6,5.1,14,0.00,0.00,0.00,0.00,0.00
2023-09-18T01:00,7.4,88,5.5,5.2,12,0.00,0.00,0.00,0.00,0.00
2023-09-18T02:00,7.4,87,5.4,5.2,10,0.00,0.00,0.00,0.00,0.00
2023-09-18T03:00,7.3,88,5.4,5.1,10,0.00,0.00,0.00,0.00,0.00
2023-09-18T04:00,7.1,89,5.4,5.0,10,0.00,0.00,0.00,0.00,0.00
2023-09-18T05:00,7.1,90,5.6,5.1,10,0.00,0.00,0.00,0.00,0.00
2023-09-18T06:00,7.3,90,5.8,5.4,10,0.00,0.00,0.00,0.00,0.00
2023-09-18T07:00,7.7,89,6.0,6.0,10,0.00,0.00,0.00,0.00,0.00
2023-09-18T08:00,8.5,87,6.5,6.9,10,0.00,0.00,0.00,0.00,0.00
2023-09-18T09:00,10.1,82,7.1,8.6,10,0.00,0.00,0.00,0.00,0.00
2023-09-18T10:00,12.1,75,7.8,10.7,10,0.00,0.00,0.00,0.00,0.00
2023-09-18T11:00,13.6,70,8.2,12.3,10,0.00,0.00,0.00,0.00,0.00
2023-09-18T12:00,14.2,66,8.0,13.2,8,0.00,0.00,0.00,0.00,0.00
2023-09-18T13:00,14.4,64,7.7,13.6,5,0.00,0.00,0.00,0.00,0.00
2023-09-18T14:00,14.4,63,7.4,13.1,3,0.00,0.00,0.00,0.00,0.00
2023-09-18T15:00,14.4,63,7.5,13.0,4,0.00,0.00,0.00,0.00,0.00
2023-09-18T16:00,14.3,65,7.8,12.8,5,0.00,0.00,0.00,0.00,0.00
2023-09-18T17:00,13.9,68,8.1,12.4,6,0.00,0.00,0.00,0.00,0.00
2023-09-18T18:00,12.7,75,8.4,11.3,5,0.00,0.00,0.00,0.00,0.00
2023-09-18T19:00,11.2,83,8.4,9.8,4,0.00,0.00,0.00,0.00,0.00
2023-09-18T20:00,10.1,89,8.3,8.8,3,0.00,0.00,0.00,0.00,0.00
2023-09-18T21:00,9.7,91,8.3,8.4,5,0.00,0.00,0.00,0.00,0.00
2023-09-18T22:00,9.7,90,8.1,8.4,8,0.00,0.00,0.00,0.00,0.00
2023-09-18T23:00,9.9,89,8.2,8.6,10,0.00,0.00,0.00,0.00,0.00
2023-09-19T00:00,10.4,87,8.4,9.0,14,0.00,0.00,0.00,0.00,0.00
2023-09-19T01:00,11.2,84,8.6,9.7,19,0.00,0.00,0.00,0.00,0.00
2023-09-19T02:00,11.8,82,8.8,10.2,23,0.00,0.00,0.00,0.00,0.00
2023-09-19T03:00,11.9,81,8.7,10.2,26,0.00,0.00,0.00,0.00,0.00
2023-09-19T04:00,11.8,81,8.6,10.2,29,0.00,0.00,0.00,0.00,0.00
2023-09-19T05:00,11.8,80,8.5,10.2,32,0.00,0.00,0.00,0.00,0.00
2023-09-19T06:00,12.2,78,8.5,10.5,33,0.00,0.00,0.00,0.00,0.00
